suite,seed,family,model_name,list_type,N,num_train_lists,num_test_lists,k_train_min,k_train_max,k_test,accuracy,internal_steps,params,runtime_ms,layers,hidden_dim,lr,epochs,assembly_size,density,plasticity,transition_rounds,association_steps
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,1,1.0,2,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,2,1.0,3,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,3,1.0,4,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,4,1.0,5,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,5,1.0,6,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,6,1.0,7,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,7,1.0,8,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,8,1.0,9,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,9,1.0,10,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,10,1.0,11,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,11,1.0,12,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,12,1.0,13,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,13,1.0,14,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,14,1.0,15,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,15,1.0,16,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,16,1.0,17,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,17,1.0,18,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,18,1.0,19,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,19,1.0,20,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,20,1.0,21,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,21,1.0,22,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,22,1.0,23,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,23,1.0,24,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-01,Seen,32,8,0,1,4,24,1.0,25,,,,,,,24,0.15,0.25,10,2
seen-ac,1,AC,AC-02,Seen,32,8,0,1,4,1,1.0,2,,,,,,,32,0.2,0.3,12,2
seen-ac,1,AC,AC-02,Seen,32,8,0,1,4,2,1.0,3,,,,,,,32,0.2,0.3,12,2
seen-ac,1,AC,AC-02,Seen,32,8,0,1,4,3,1.0,4,,,,,,,32,0.2,0.3,12,2
