family,model_name,list_type,k_test,mean_accuracy,num_rows
MLP,MLP-01,Seen,1,0.668888888888889,3
MLP,MLP-01,Seen,2,0.6579166666666666,3
MLP,MLP-01,Seen,3,0.6909722222222222,3
MLP,MLP-01,Seen,4,0.6752777777777778,3
MLP,MLP-01,Seen,5,0.0,3
MLP,MLP-01,Seen,6,0.0,3
MLP,MLP-01,Seen,7,0.0,3
MLP,MLP-01,Seen,8,0.0,3
MLP,MLP-01,Seen,9,0.0,3
MLP,MLP-01,Seen,10,0.0005555555555555556,3
MLP,MLP-01,Seen,11,0.0,3
MLP,MLP-01,Seen,12,0.0006944444444444445,3
MLP,MLP-02,Seen,1,0.9933333333333333,3
MLP,MLP-02,Seen,2,0.9941666666666666,3
MLP,MLP-02,Seen,3,0.9956944444444445,3
MLP,MLP-02,Seen,4,0.9994444444444444,3
MLP,MLP-02,Seen,5,0.0,3
MLP,MLP-02,Seen,6,0.0,3
MLP,MLP-02,Seen,7,0.0,3
MLP,MLP-02,Seen,8,0.0,3
MLP,MLP-02,Seen,9,0.0,3
MLP,MLP-02,Seen,10,0.0,3
MLP,MLP-02,Seen,11,0.0,3
MLP,MLP-02,Seen,12,0.0,3
MLP,MLP-03,Seen,1,1.0,3
MLP,MLP-03,Seen,2,0.9984953703703704,3
MLP,MLP-03,Seen,3,0.9979166666666667,3
MLP,MLP-03,Seen,4,0.9997685185185184,3
MLP,MLP-03,Seen,5,0.0,3
MLP,MLP-03,Seen,6,0.0,3
MLP,MLP-03,Seen,7,0.0,3
MLP,MLP-03,Seen,8,0.0,3
MLP,MLP-03,Seen,9,0.0,3
MLP,MLP-03,Seen,10,0.0,3
MLP,MLP-03,Seen,11,0.0,3
MLP,MLP-03,Seen,12,0.0,3
