family,model_name,list_type,k_test,mean_accuracy,num_rows
MLP,MLP-01,Seen,1,0.6491666666666667,1
MLP,MLP-01,Seen,2,0.6729166666666667,1
MLP,MLP-01,Seen,3,0.6733333333333333,1
MLP,MLP-01,Seen,4,0.6320833333333333,1
MLP,MLP-01,Seen,5,0.0,1
MLP,MLP-01,Seen,6,0.0,1
MLP,MLP-01,Seen,7,0.0,1
MLP,MLP-01,Seen,8,0.0,1
MLP,MLP-01,Seen,9,0.0,1
MLP,MLP-01,Seen,10,0.0016666666666666668,1
MLP,MLP-01,Seen,11,0.0,1
MLP,MLP-01,Seen,12,0.0020833333333333333,1
MLP,MLP-02,Seen,1,0.9933333333333333,1
MLP,MLP-02,Seen,2,0.9879166666666667,1
MLP,MLP-02,Seen,3,0.9925,1
MLP,MLP-02,Seen,4,1.0,1
MLP,MLP-02,Seen,5,0.0,1
MLP,MLP-02,Seen,6,0.0,1
MLP,MLP-02,Seen,7,0.0,1
MLP,MLP-02,Seen,8,0.0,1
MLP,MLP-02,Seen,9,0.0,1
MLP,MLP-02,Seen,10,0.0,1
MLP,MLP-02,Seen,11,0.0,1
MLP,MLP-02,Seen,12,0.0,1
MLP,MLP-03,Seen,1,1.0,1
MLP,MLP-03,Seen,2,0.9954861111111111,1
MLP,MLP-03,Seen,3,0.9958333333333333,1
MLP,MLP-03,Seen,4,0.9993055555555556,1
MLP,MLP-03,Seen,5,0.0,1
MLP,MLP-03,Seen,6,0.0,1
MLP,MLP-03,Seen,7,0.0,1
MLP,MLP-03,Seen,8,0.0,1
MLP,MLP-03,Seen,9,0.0,1
MLP,MLP-03,Seen,10,0.0,1
MLP,MLP-03,Seen,11,0.0,1
MLP,MLP-03,Seen,12,0.0,1
