suite,seed,family,model_name,list_type,N,num_train_lists,num_test_lists,k_train_min,k_train_max,k_test,accuracy,internal_steps,params,runtime_ms,layers,hidden_dim,lr,epochs,assembly_size,density,plasticity,transition_rounds,association_steps
unseen-ac-proper-paper,1,AC,AC-Proper-01,Unseen,6,12,6,1,3,1,0.14583333333333334,1,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,1,AC,AC-Proper-01,Unseen,6,12,6,1,3,2,0.16666666666666666,2,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,1,AC,AC-Proper-01,Unseen,6,12,6,1,3,3,0.14583333333333334,3,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,2,AC,AC-Proper-01,Unseen,6,12,6,1,3,1,0.14583333333333334,1,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,2,AC,AC-Proper-01,Unseen,6,12,6,1,3,2,0.16666666666666666,2,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,2,AC,AC-Proper-01,Unseen,6,12,6,1,3,3,0.1875,3,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,3,AC,AC-Proper-01,Unseen,6,12,6,1,3,1,0.17708333333333334,1,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,3,AC,AC-Proper-01,Unseen,6,12,6,1,3,2,0.125,2,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,3,AC,AC-Proper-01,Unseen,6,12,6,1,3,3,0.15625,3,,,,,,,12,0.45,0.3,,
unseen-ac-proper-paper,1,AC,AC-Proper-02,Unseen,6,12,6,1,3,1,0.14583333333333334,1,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,1,AC,AC-Proper-02,Unseen,6,12,6,1,3,2,0.16666666666666666,2,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,1,AC,AC-Proper-02,Unseen,6,12,6,1,3,3,0.14583333333333334,3,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,2,AC,AC-Proper-02,Unseen,6,12,6,1,3,1,0.1875,1,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,2,AC,AC-Proper-02,Unseen,6,12,6,1,3,2,0.15625,2,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,2,AC,AC-Proper-02,Unseen,6,12,6,1,3,3,0.17708333333333334,3,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,3,AC,AC-Proper-02,Unseen,6,12,6,1,3,1,0.17708333333333334,1,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,3,AC,AC-Proper-02,Unseen,6,12,6,1,3,2,0.125,2,,,,,,,14,0.5,0.3,,
unseen-ac-proper-paper,3,AC,AC-Proper-02,Unseen,6,12,6,1,3,3,0.15625,3,,,,,,,14,0.5,0.3,,
