family,model_name,list_type,k_test,mean_accuracy,num_rows
AC,AC-01,Unseen,1,1.0,1
AC,AC-01,Unseen,2,1.0,1
AC,AC-01,Unseen,3,1.0,1
AC,AC-01,Unseen,4,1.0,1
AC,AC-01,Unseen,5,1.0,1
AC,AC-01,Unseen,6,1.0,1
AC,AC-01,Unseen,7,1.0,1
AC,AC-01,Unseen,8,1.0,1
AC,AC-01,Unseen,9,1.0,1
AC,AC-01,Unseen,10,1.0,1
AC,AC-01,Unseen,11,1.0,1
AC,AC-01,Unseen,12,1.0,1
AC,AC-01,Unseen,13,1.0,1
AC,AC-01,Unseen,14,1.0,1
AC,AC-01,Unseen,15,1.0,1
AC,AC-01,Unseen,16,1.0,1
AC,AC-01,Unseen,17,1.0,1
AC,AC-01,Unseen,18,1.0,1
AC,AC-01,Unseen,19,1.0,1
AC,AC-01,Unseen,20,1.0,1
AC,AC-01,Unseen,21,1.0,1
AC,AC-01,Unseen,22,1.0,1
AC,AC-01,Unseen,23,1.0,1
AC,AC-01,Unseen,24,1.0,1
AC,AC-02,Unseen,1,1.0,1
AC,AC-02,Unseen,2,1.0,1
AC,AC-02,Unseen,3,1.0,1
AC,AC-02,Unseen,4,1.0,1
AC,AC-02,Unseen,5,1.0,1
AC,AC-02,Unseen,6,1.0,1
AC,AC-02,Unseen,7,1.0,1
AC,AC-02,Unseen,8,1.0,1
AC,AC-02,Unseen,9,1.0,1
AC,AC-02,Unseen,10,1.0,1
AC,AC-02,Unseen,11,1.0,1
AC,AC-02,Unseen,12,1.0,1
AC,AC-02,Unseen,13,1.0,1
AC,AC-02,Unseen,14,1.0,1
AC,AC-02,Unseen,15,1.0,1
AC,AC-02,Unseen,16,1.0,1
AC,AC-02,Unseen,17,1.0,1
AC,AC-02,Unseen,18,1.0,1
AC,AC-02,Unseen,19,1.0,1
AC,AC-02,Unseen,20,1.0,1
AC,AC-02,Unseen,21,1.0,1
AC,AC-02,Unseen,22,1.0,1
AC,AC-02,Unseen,23,1.0,1
AC,AC-02,Unseen,24,1.0,1
