suite,seed,family,model_name,list_type,N,num_train_lists,num_test_lists,k_train_min,k_train_max,k_test,accuracy,internal_steps,params,runtime_ms,layers,hidden_dim,lr,epochs,assembly_size,density,plasticity,transition_rounds,association_steps
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,1,0.2263888888888889,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,2,0.10694444444444444,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,3,0.12152777777777778,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,4,0.10277777777777777,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,5,0.1076388888888889,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,6,0.0625,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,7,0.059722222222222225,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,8,0.11875,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,9,0.1111111111111111,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-01,Unseen,12,24,12,1,4,10,0.08263888888888889,,210592,,3,256,0.001,39,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,1,0.24166666666666667,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,2,0.09791666666666667,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,3,0.07777777777777778,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,4,0.11875,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,5,0.09861111111111111,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,6,0.06041666666666667,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,7,0.13194444444444445,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,8,0.1076388888888889,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,9,0.09097222222222222,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-02,Unseen,12,24,12,1,4,10,0.05694444444444444,,882700,,4,512,0.001,32,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,1,0.21388888888888888,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,2,0.12152777777777778,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,3,0.1076388888888889,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,4,0.07569444444444444,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,5,0.059722222222222225,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,6,0.06319444444444444,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,7,0.1326388888888889,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,8,0.07083333333333333,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,9,0.11736111111111111,,3338252,,4,1024,0.001,33,,,,,
unseen-mlp,1,MLP,MLP-03,Unseen,12,24,12,1,4,10,0.09097222222222222,,3338252,,4,1024,0.001,33,,,,,
