family,model_name,list_type,k_test,mean_accuracy,num_rows
MLP,MLP-01,Unseen,1,0.2263888888888889,1
MLP,MLP-01,Unseen,2,0.10694444444444444,1
MLP,MLP-01,Unseen,3,0.12152777777777778,1
MLP,MLP-01,Unseen,4,0.10277777777777777,1
MLP,MLP-01,Unseen,5,0.1076388888888889,1
MLP,MLP-01,Unseen,6,0.0625,1
MLP,MLP-01,Unseen,7,0.059722222222222225,1
MLP,MLP-01,Unseen,8,0.11875,1
MLP,MLP-01,Unseen,9,0.1111111111111111,1
MLP,MLP-01,Unseen,10,0.08263888888888889,1
MLP,MLP-02,Unseen,1,0.24166666666666667,1
MLP,MLP-02,Unseen,2,0.09791666666666667,1
MLP,MLP-02,Unseen,3,0.07777777777777778,1
MLP,MLP-02,Unseen,4,0.11875,1
MLP,MLP-02,Unseen,5,0.09861111111111111,1
MLP,MLP-02,Unseen,6,0.06041666666666667,1
MLP,MLP-02,Unseen,7,0.13194444444444445,1
MLP,MLP-02,Unseen,8,0.1076388888888889,1
MLP,MLP-02,Unseen,9,0.09097222222222222,1
MLP,MLP-02,Unseen,10,0.05694444444444444,1
MLP,MLP-03,Unseen,1,0.21388888888888888,1
MLP,MLP-03,Unseen,2,0.12152777777777778,1
MLP,MLP-03,Unseen,3,0.1076388888888889,1
MLP,MLP-03,Unseen,4,0.07569444444444444,1
MLP,MLP-03,Unseen,5,0.059722222222222225,1
MLP,MLP-03,Unseen,6,0.06319444444444444,1
MLP,MLP-03,Unseen,7,0.1326388888888889,1
MLP,MLP-03,Unseen,8,0.07083333333333333,1
MLP,MLP-03,Unseen,9,0.11736111111111111,1
MLP,MLP-03,Unseen,10,0.09097222222222222,1
